idx_type,date,value
sch,2003-03-01,31.9
pzua,2003-03-01,12.9
ins,2003-03-01,4.9
unw,2003-03-01,14.2
sch,2004-03-01,36.4
pzua,2004-03-01,12.2
ins,2004-03-01,7.7
unw,2004-03-01,16.4
sch,2005-03-01,39.1
pzua,2005-03-01,10.3
ins,2005-03-01,10.9
unw,2005-03-01,18
sch,2006-03-01,48.2
pzua,2006-03-01,9.3
ins,2006-03-01,13.7
unw,2006-03-01,25.2
sch,2007-03-01,71.6
pzua,2007-03-01,12.8
ins,2007-03-01,21.3
unw,2007-03-01,37.5
sch,2008-03-01,100
scs,2008-03-01,98.6161942499924
pzua,2008-03-01,15.3
ins,2008-03-01,32.7
unw,2008-03-01,52
sch,2008-06-01,104
scs,2008-06-01,101.428443553703
pzua,2008-06-01,13.7
ins,2008-06-01,35.2
unw,2008-06-01,55.1
sch,2008-09-01,97
scs,2008-09-01,97.1956024240227
pzua,2008-09-01,12.4
ins,2008-09-01,32.7
unw,2008-09-01,51.9
scg,2008-09-01,99.8333333333333
sch,2008-12-01,85.8
scs,2008-12-01,89.2465763787685
pzua,2008-12-01,9.5
ins,2008-12-01,28.4
unw,2008-12-01,47.9
scg,2008-12-01,92.5666666666667
sch,2009-03-01,76.7
scs,2009-03-01,75.4567145658319
pzua,2009-03-01,9.3
ins,2009-03-01,28
unw,2009-03-01,39.4
scg,2009-03-01,83.1166666666667
sch,2009-06-01,68.7
scs,2009-06-01,67.1525157954059
pzua,2009-06-01,8.4
ins,2009-06-01,24.4
unw,2009-06-01,35.9
scg,2009-06-01,74.2166666666667
sch,2009-09-01,64.9
scs,2009-09-01,64.9476394638663
pzua,2009-09-01,7.7
ins,2009-09-01,23
unw,2009-09-01,34.3
scg,2009-09-01,68.1333333333333
sch,2009-12-01,65.3
scs,2009-12-01,67.9853368021181
pzua,2009-12-01,6.8
ins,2009-12-01,24.7
unw,2009-12-01,33.8
scg,2009-12-01,65.7333333333333
sch,2010-03-01,75.1
scs,2010-03-01,73.6577262072623
pzua,2010-03-01,8.9
ins,2010-03-01,29.7
unw,2010-03-01,36.6
scg,2010-03-01,70.1333333333333
sch,2010-06-01,82.2
scs,2010-06-01,80.6796086933682
pzua,2010-06-01,9.1
ins,2010-06-01,31.3
unw,2010-06-01,41.9
scg,2010-06-01,77.0166666666667
sch,2010-09-01,84.8
scs,2010-09-01,84.6915273411354
pzua,2010-09-01,8.7
ins,2010-09-01,29.8
unw,2010-09-01,46.3
scg,2010-09-01,82.3166666666667
sch,2010-12-01,85.4
scs,2010-12-01,88.9802489102371
pzua,2010-12-01,7.7
ins,2010-12-01,31.6
unw,2010-12-01,46.1
scg,2010-12-01,84.6666666666667
sch,2011-03-01,98.1
scs,2011-03-01,95.9280539922838
pzua,2011-03-01,8.4
ins,2011-03-01,36.4
unw,2011-03-01,53.3
scg,2011-03-01,91.65
sch,2011-06-01,98.9
scs,2011-06-01,97.5886345437119
pzua,2011-06-01,7.4
ins,2011-06-01,35.9
unw,2011-06-01,55.7
scg,2011-06-01,96.3833333333334
sch,2011-09-01,97.1
scs,2011-09-01,96.6234073266321
pzua,2011-09-01,7
ins,2011-09-01,36
unw,2011-09-01,54
scg,2011-09-01,97.8666666666667
sch,2011-12-01,92.3
scs,2011-12-01,96.2306997039957
pzua,2011-12-01,5
ins,2011-12-01,34.2
unw,2011-12-01,53.1
scg,2011-12-01,95
sch,2012-03-01,100.6
scs,2012-03-01,98.2461118760816
pzua,2012-03-01,7.3
ins,2012-03-01,38
unw,2012-03-01,55.3
scg,2012-03-01,97.25
sch,2012-06-01,97.1
scs,2012-06-01,96.1178054573301
pzua,2012-06-01,6.2
ins,2012-06-01,36
unw,2012-06-01,54.8
scg,2012-06-01,97.4666666666667
sch,2012-09-01,100.5
scs,2012-09-01,99.7938311769609
pzua,2012-09-01,5.8
ins,2012-09-01,37
unw,2012-09-01,57.6
scg,2012-09-01,99.3833333333333
sch,2012-12-01,93
scs,2012-12-01,96.9992150987233
pzua,2012-12-01,4.7
ins,2012-12-01,36.2
unw,2012-12-01,52
scg,2012-12-01,96.1833333333333
sch,2013-03-01,98
scs,2013-03-01,95.6563344316142
pzua,2013-03-01,6.1
ins,2013-03-01,34
unw,2013-03-01,57.9
scg,2013-03-01,96.75
sch,2013-06-01,100.2
scs,2013-06-01,99.3324606553686
pzua,2013-06-01,5.5
ins,2013-06-01,37.9
unw,2013-06-01,56.9
scg,2013-06-01,98.2666666666667
sch,2013-09-01,105.3
scs,2013-09-01,104.441420296357
pzua,2013-09-01,4.9
ins,2013-09-01,39.6
unw,2013-09-01,60.8
scg,2013-09-01,102.383333333333
sch,2013-12-01,107
scs,2013-12-01,111.562448199851
pzua,2013-12-01,3.9
ins,2013-12-01,41.1
unw,2013-12-01,62
scg,2013-12-01,105.3
sch,2014-03-01,114.4
scs,2014-03-01,111.768313479393
pzua,2014-03-01,5.6
ins,2014-03-01,44.5
unw,2014-03-01,64.3
